かな,英語,ローマ字
ひのいり,sunset,hinoiri
ひので,sunrise,hinode
ひのまる,Rising Sun Flag,hinomaru
ひはん,criticism,hihan
ひび,crack,hibi
ひび,daily,hibi
ひびく,reverberate,hibiku
ひひょう,criticism,hihyō
ひふ,skin,hifu
ひま,free time,hima
ひまわり,sunflower,himawari
ひみつ,secret,himitsu
びみょう,subtle,bimyō
ひめい,shriek,himei
ひも,laces,himo
ひやかす,tease,hiyakasu
ひゃく,hundred,hyaku
ひゃくえん,100 yen,hyakuen
ひゃくえんしょっぷ,Japanese dollar store,hyakuen shoppu
ひやけ,suntan,hiyake
ひやす,cool,hiyasu
ひゃっかじてん,encyclopedia,hyakkajiten
ひゃっかてん,department store,hyakkaten
ひょう,table,hyō
ひよう,expenses,hiyō
びょういん,hospital,byōin
びよういん,beauty shop,biyōin
ひょうか,evaluation,hyōka
びょうき,illness,byōki
ひょうげん,expression,hyōgen
ひょうし,cover,hyōshi
びょうし,death from sickness,byōshi
びょうしつ,patient room,byōshitsu
ひょうじゅん,standard,hyōjun
ひょうじょう,expression,hyōjō
びょうどう,equality,byōdō
びょうにん,sick person,byōnin
ひょうばん,fame,hyōban
ひょうめん,surface,hyōmen
ひょっとしたら,perhaps,hyottoshitara
ぴょんと,jump,pyonto
ぴょんぴょん,jump,pyonpyon
ひらがな,hiragana,hiragana
ひらく,open,hiraku
ひらける,widen,hirakeru
ひらたい,flat,hiratai
ひらひら,lightly,hirahira
ひらりと,lightly,hirarito
ひりつ,ratio,hiritsu
ひる,daytime,hiru
びる,building,biru
ひるすぎ,early afternoon,hirusugi
ひるね,siesta,hirune
ひるま,daytime,hiruma
ひるまえ,in the morning,hirumae
ひるやすみ,noon recess,hiruyasumi
ひれい,proportion,hirei
ひろい,wide,hiroi
ひろう,pick up,hirō
ひろう,fatigue,hirō
ひろがる,spread out,hirogaru
ひろげる,spread,hirogeru
ひろさ,area,hirosa
ひろば,square,hiroba
ひろまる,spread,hiromaru
ひろめる,spread,hiromeru
びん,bottle,bin
ぴん,hairpin,pin
びんかん,sensitive,binkan
ぴんく,pink,pinku
ひんしつ,quality,hinshitsu
びんせん,letter paper,binsen
ひんと,hint,hinto
びんぼう,poverty,binbō
びんぼうにん,poor person,binbōnin
ぴんぽん,table tennis,pinpon
ふ,urban prefecture,fu
ふぁっくす,facsimile,fakkusu
ふぁっしょん,fashion,fasshon
ふぁみれす,family restaurant,famiresu
ふぁん,fan,fan
ふあん,uneasiness,fuan
ふあんてい,instability,fuantei
ふぁんでーしょん,foundation,fandēshon
ふぃるむ,film,firumu
ふう,seal,fū
ふうけい,scenery,fūkei
ふうせん,balloon,fūsen
ふうとう,envelope,fūtō
ふうふ,husband and wife,fūfu
ぶーむ,boom,būmu
ぷーる,pool,pūru
ふうん,misfortune,fūn
ふえ,flute,fue
ふえる,increase,fueru
ふぉーく,fork,fōku
ぶか,subordinate,buka
ふかい,deep,fukai
ふかさ,depth,fukasa
ふかのう,impossible,fukanō
ふかまる,deepen,fukamaru
ふかめる,deepen,fukameru
ふかんぜん,imperfection,fukanzen
ぶき,weapon,buki
ふきげん,bad mood,fukigen
ふきそく,irregular,fukisoku
ふきゅう,diffusion,fukyū
ふきょう,depression,fukyō
ぶきよう,clumsy,bukiyō
ふきん,neighborhood,fukin
ふく,clothes,fuku
ふく,blow,fuku
ふく,wipe,fuku
ふくざつ,complicated,fukuzatsu
ふくし,welfare,fukushi
ふくし,adverb,fukushi
ふくしゅう,review,fukushū
ふくすう,plural,fukusū
ふくそう,clothes,fukusō
ふくむ,contain,fukumu
ふくめる,include,fukumeru
ふくらむ,expand,fukuramu
ふくれる,expand,fukureru
ふくろ,bag,fukuro
ふくろう,owl,fukurō
ふけい,parents,fukei
ふけいき,business depression,fukeiki
ふけつ,dirty,fuketsu
ふこう,unhappiness,fukō
ふごうかく,failure,fugōkaku
ふこうへい,unfair,fukōhei
ふさい,husband and wife,fusai
ふざい,absence,fuzai
ふさがる,close up,fusagaru
ふさぐ,close,fusagu
ふざける,mess around,fuzakeru
ふさわしい,suitable,fusawashii
ぶし,samurai,bushi
ぶじ,safely,buji
ふしあわせ,unhappiness,fushiawase
ふしぎ,mystery,fushigi
ふしぜん,unnatural,fushizen
ふじゆう,inconvenience,fujiyū
ふじゅうぶん,insufficiency,fujūbun
ふしょう,hurt,fushō
ふじん,wife,fujin
ふじん,woman,fujin
ふしんせつ,unkind,fushinsetsu
ふすま,sliding door,fusuma
ふせい,fraud,fusei
ふせぐ,prevent,fusegu
ふそく,insufficiency,fusoku
ふぞく,attachment,fuzoku
ふた,lid,futa
ふだ,sign,fuda
ぶた,pig,buta
ぶたい,stage,butai
ふたご,twins,futago
ふたしか,unreliable,futashika
ふたたび,again,futatabi
ふたつ,two (things),futatsu
ぶたにく,pork,butaniku
ふたり,two persons,futari
ふたん,burden,futan
ふだん,usual,fudan
ふちゅうい,carelessness,fuchūi
ふちょう,urban prefectural office,fuchō
ぶちょう,section chief,buchō
ふつう,normal,futsū
ふつう,interruption of service,futsū
ふつか,two days,futsuka
ぶっか,prices,bukka
ふっかつ,revival,fukkatsu
ぶつかる,hit,butsukaru
ぶっきょう,Buddhism,bukkyō
ぶつける,bump,butsukeru
ぶっし,commodities,busshi
ぶっしつ,matter,busshitsu
ぶったい,object,buttai
ふっとう,boiling,futtō
ぶつぶつ,grumble,butsubutsu
ぶつり,physics,butsuri
ふで,writing brush,fude
ふでばこ,pencil case,fudebako
ふと,suddenly,futo
ふとい,thick,futoi
ぶどう,grapes,budō
ふどうさんや,real estate agent,fudōsanya
ふとくい,one's weak point,futokui
ふとる,grow fat,futoru
ふとん,futon,futon
ふなびん,surface mail,funabin
ふね,ship,fune
ふひつよう,unnecessary,fuhitsuyō
ふびょうどう,unequal,fubyōdō
ぶひん,parts,buhin
ふぶき,blizzard,fubuki
ぶぶん,part,bubun
ふへい,discontent,fuhei
ふべん,inconvenient,fuben
ふぼ,father and mother,fubo
ふまん,dissatisfaction,fuman
ふみきり,railroad crossing,fumikiri
ふむ,step on,fumu
ふめい,unknown,fumei
ふもと,foot of the mountain,fumoto
ぶもん,division,bumon
ふやす,increase,fuyasu
ふゆ,winter,fuyu
ふゆかい,unpleasant,fuyukai
ふゆやすみ,winter vacation,fuyuyasumi
ふよう,unnecessary,fuyō
ふらいと,flight,furaito
ぷらいど,pride,puraido
ふらいぱん,frying pan,furaipan
ぶらうす,blouse,burausu
ぶらさがる,hang down,burasagaru
ぶらさげる,hang,burasageru
ぶらし,brush,burashi
ぷらす,plus,purasu
ぷらすちっく,plastic,purasuchikku
ぷらっとほーむ,platform,purattohōmu
ふらふら,weak,furafura
ぶらぶら,wander aimlessly,burabura
ぷらん,plan,puran
ふらんくふると,frankfurter,furankufuruto
ぶらんでー,brandy,burandē
ふり,disadvantage,furi
ふり,swing,furi
ふりかえる,turn one's head,furikaeru
ふりがな,reading aid in kana characters,furigana
ふりつ,prefectural,furitsu
ふりむく,turn around,furimuku
ふりょう,bad,furyō
ぷりん,custard pudding,purin
ぷりんと,print,purinto
ふる,wave,furu
ふる,fall,furu
ふるい,old,furui
ふるーつ,fruit,furūtsu
ふるえる,tremble,furueru
ふるさと,hometown,furusato
ぶるぶる,shiver,buruburu
ふるほん,secondhand book,furuhon
ぶれーき,brake,burēki
ぷれぜんと,present,purezento
ふれる,touch,fureru
ふろ,bath,furo
ぷろ,pro,puro
ふろく,appendix,furoku
ぷろぐらむ,program,puroguramu
ふろば,bathroom,furoba
ふろや,bathhouse,furoya
ぷろやきゅう,professional baseball,puroyakyū
ふわふわ,soft,fuwafuwa
ぶん,amount,bun
ぶん,writings,bun
ふんいき,atmosphere,fun'iki
ふんか,eruption,funka
ぶんか,culture,bunka
ぶんかい,taking apart,bunkai
ぶんがく,literature,bungaku
ぶんがくしゃ,literary person,bungakusha
ぶんかざい,cultural assets,bunkazai
ぶんかてき,cultural,bunkateki
ぶんけい,liberal arts,bunkei
ぶんさん,dispersion,bunsan
ぶんしょう,writing,bunshō
ふんすい,jet,funsui
ぶんせき,analysis,bunseki
ぶんたん,assigning tasks,buntan
ぶんどき,protractor,bundoki
ぶんぽう,grammar,bunpō
ぶんぼうぐ,stationery,bunbōgu
ぶんめい,civilization,bunmei
ぶんや,field,bunya
ぶんり,separation,bunri
ぶんるい,classification,bunrui
ぶんれつ,division,bunretsu
へい,fence,hei
へいかい,closing,heikai
へいき,nonchalant,heiki
へいき,arms,heiki
へいきん,average,heikin
へいこう,parallel,heikō
へいし,soldier,heishi
へいじつ,weekday,heijitsu
へいせい,Heisei era,heisei
へいたい,soldier,heitai
へいてん,shop closing,heiten
へいほう,square,heihō
へいぼん,common,heibon
へいめん,level surface,heimen
へいや,plain,heiya
へいわ,peace,heiwa
ぺーじ,page,pēji
べーす,bass guitar,bēsu
ぺーす,pace,pēsu
ぺこぺこ,hungry,pekopeko
ぺこぺこ,bow,pekopeko
べすと,best,besuto
へそ,the navel,heso
へそくり,secret savings,hesokuri)
へた,not good at,heta
へたくそ,clumsy,hetakuso
べたべた,stick together,betabeta
べつ,another,betsu
べっど,bed,beddo
へっどすぱ,head spa,heddo-supa
べつに,especially,betsuni
べつべつ,separately,betsubetsu
べてらん,veteran,beteran
へなちょこ,coward,henachoko
へび,snake,hebi
へや,room,heya
へやぼし,indoor drying,heya-boshi
へらす,decrease,herasu
ぺらぺら,fluently,perapera
ぺらぺら,floppy,perapera
ぺりかん,pelican,perikan
へりこぷたー,helicopter,herikoputaa
へる,decrease,heru
へる,pass,heru
べる,bell,beru
べると,belt,beruto
へるめっと,helmet,herumetto
へん,vicinity,hen
へん,strange,hen
ぺん,pen,pen
へんか,change,henka
へんかん,change,henkan
ぺんき,paint,penki
へんきゃく,return,henkyaku
べんきょう,study,benkyō
ぺんぎん,penguin,pengin
へんけん,prejudice,henken
べんご,defense,bengo
へんこう,alteration,henkō
べんごし,lawyer,bengoshi
へんさち,standard score,hensachi
へんじ,answer,henji
へんしゅう,editing,henshū
べんじょ,lavatory,benjo
べんち,bench,benchi
ぺんち,pliers,penchi
べんとう,box lunch,bentō
べんり,convenience,benri
べんろん,discussion,benron
ほいくえん,day-care center,hoikuen
ほいくし,nursery teacher,hoikushi
ほう,direction,hō
ほう,law,hō
ぼう,rod,bō
ぼうえい,defense,bōei
ぼうえき,trade,bōeki
ぼうか,fire prevention,bōka
ぼうがい,hindrance,bōgai
ほうがく,direction,hōgaku
ほうがくぶ,law department,hōgakubu
ほうき,broom,hōki
ほうげん,dialect,hōgen
ぼうけん,adventure,bōken
ほうこう,direction,hōkō
ほうこく,report,hōkoku
ぼうさん,Buddhist priest,bōsan
ぼうし,cap,bōshi
ぼうし,prevention,bōshi
ほうしゃのう,radioactivity,hōshanō
ほうしゅう,remuneration,hōshū
ほうしん,course,hōshin
ほうせき,gem,hōseki
ほうそう,broadcasting,hōsō
ほうそく,law,hōsoku
ほうたい,bandage,hōtai
ほうちょう,kitchen knife,hōchō
ほうどう,news,hōdō
ぼうねんかい,year-end party,bōnenkai
ほうふ,abundant,hōfu
ほうほう,method,hōhō
ほうぼう,everyone,hōbō
ほうめん,direction,hōmen
ほうもん,visit,hōmon
ぼうらく,slump,bōraku
ほうりつ,law,hōritsu
ぼうりょく,violence,bōryoku
ほうる,fling,hōru
ほうれんそう,spinach,hōrensō
ほえる,bark,hoeru
ほお,cheek,hō
ぼーい,waiter,bōi
ぼーいふれんど,boyfriend,bōifurendo
ほーす,hose,hosu
ほおづえ,resting one's chin on one's hands,hōzue
ぼーと,boat,bōto
ぼーなす,bonus,bōnasu
ほーむ,platform,hōmu
ほーむらん,home run,omu-ran
ぼーる,ball,bōru
ぼーるぺん,ballpoint pen,bōrupen
ほか,other,hoka
ぽかぽか,pleasantly warm,pokapoka
ほがらか,cheerful,hogaraka
ぼく,I (young male),boku
ぼくし,pastor,bokushi
ぼくじょう,stock farm,bokujō
ほくせい,northwest,hokusei
ほくとう,northeast,hokutō
ほくろ,mole,hokuro
ぽけっと,pocket,poketto
ほけん,insurance,hoken
ほけん,health,hoken
ほご,protection,hogo
ほこうしゃ,pedestrian,hokōsha
ほこうしゃてんごく,vehicle-free promenade,hokōshatengoku
ほごしゃ,guardian,hogosha
ほこり,dust,hokori
ほし,star,hoshi
ほしい,want,hoshii
ほしがる,desire,hoshigaru
ほしゅ,conservation,hoshu
ぼしゅう,recruitment,boshū
ほしょう,guarantee,hoshō
ほしょう,guarantee,hoshō
ほしょうにん,guarantor,hoshōnin
ほす,dry,hosu
ぽすたー,poster,posutaa
ぽすと,post box,posuto
ほそい,thin,hosoi
ほそながい,long and thin,hosonagai
ほぞん,preservation,hozon
ほたる,firefly,hotaru
ぼたん,button,botan
ぼたん,peony,botan
ぼち,graveyard,bochi
ほっきょく,North Pole,hokkyoku
ほっと,hot,hotto
ほっと,feel relieved,hotto
ぽっと,pot,potto
ほてる,hotel,hoteru
ほど,extent,hodo
ほどう,sidewalk,hodō
ほどく,undo,hodoku
ほとけ,buddha,hotoke
ほとんど,almost,hotondo
ほね,bone,hone
ほのお,flame,honō
ほほ,cheek,hoho
ほぼ,almost,hobo
ほほえむ,smile,hohoemu
ほめる,praise,homeru
ぼりゅーむ,volume,boryūmu
ほる,dig,horu
ほる,engrave,horu
ぽろしゃつ,polo shirt,poroshatsu
ほろびる,go to ruin,horobiru
ほん,book,hon
ぼん,Bon Festival,bon
ぼん,tray,bon
ぼんおどり,Bon Festival dance,bon'odori
ほんかくてき,full-scale,honkakuteki
ほんき,seriousness,honki
ほんごく,one's native country,hongoku
ほんしつ,essence,honshitsu
ほんじつ,today,honjitsu
ほんしゃ,head office,honsha
ほんだな,bookshelf,hondana
ぼんち,valley,bonchi
ほんてん,head office,honten
ほんとう,truth,hontō
ほんとうに,really,hontōni
ほんにん,the person himself,honnin
ほんねん,this year,honnen
ほんのう,instinct,honnō
ほんばこ,bookcase,honbako
ほんぶ,head office,honbu
ほんぶん,text,honbun
ほんもの,real thing,honmono
ほんや,bookstore,honya
ほんやく,translation,honyaku
ぼんやり,vaguely,bonyari
ほんらい,originally,honrai
ま,interval,ma
まあ,well,maa
まーく,logo,maaku
まーけっと,market,maaketto
まあまあ,OK,maamaa
まあまあ,now now,maamaa
まいあさ,every morning,maiasa
まいく,mic,maiku
まいご,lost child,maigo
まいご,lost child / lost person,maigo
まいしゅう,every week,maishū
まいすう,number of flat things,maisū
まいつき,every month,maitsuki
まいど,every time,maido
まいとし,every year,maitoshi
まいなす,minus,mainasu
まいにち,every day,mainichi
まいねん,every year,mainen
まいばん,every evening,maiban
まいる,go,mairu
まえ,front,mae
まえうりけん,advance ticket,maeuriken
まえむき,facing forward,maemuki
まえもって,in advance,maemotte
まかせる,entrust to,makaseru
まがりかど,corner,magarikado
まがる,turn,magaru
まかろに,macaroni,makaroni
まきもどし,rewind,makimodoshi
まく,scatter,maku
まく,roll up,maku
まく,sow,maku
まく,curtain,maku
まぐかっぷ,mug,magu-kappu
まぐねっと,magnet,magunetto
まくら,pillow,makura
まぐろ,tuna,maguro
まけ,defeat,make
まける,lose,makeru
まげる,bend,mageru
まご,grandchild,mago
まごころ,sincerity,magokoro
まことに,truly,makotoni
まさか,never in a million years,masaka
まさつ,friction,masatsu
まさに,just,masani
まざる,mix,mazaru
まざる,be mixed,mazaru
まし,more,mashi
ましかく,square,mashikaku
まして,much more,mashite
まじめ,serious,majime
まじる,be mingled,majiru
まじる,be blended,majiru
まじわる,cross,majiwaru
まじわる,associate with,majiwaru
ます,increase,masu
まず,first,mazu
まずい,bad-tasting,mazui
まずい,bad,mazui
まずい,problematic,mazui
ますから,mascara,masukara
ますこみ,mass communication,masukomi
まずしい,poor,mazushii
ますます,increasingly,masumasu
まぜる,include,mazeru
まぜる,blend,mazeru
また,again,mata
また,crotch,mata
まだ,yet,mada
まち,town,machi
まちあいしつ,waiting room,machiaishitsu
まちあわせ,waiting,machiawase
まちあわせる,wait for,machiawaseru
まぢか,nearby,majika
まちがい,mistake,machigai
まちがう,be mistaken,machigau
まちがえる,mistake,machigaeru
まちかど,street corner,machikado
まちどおしい,just can't wait for,machidōshii
まちなか,the downtown area,machinaka
まちのぞむ,expect,machinozomu
まちはずれ,outskirts of a town,machihazure
まつ,wait,matsu
まつ,last part,matsu
まっか,deep red,makka
まっくら,pitch-dark,makkura
まっくろ,deep-black,makkuro
まっさいちゅう,midst,massaichū
まっさお,deep-blue,massao
まっさき,first thing,massaki
まっしろ,pure-white,masshiro
まっすぐ,dead straight,massugu
まったく,entirely,mattaku
まっち,match,matchi
まっちゃ,matcha,matcha
まつり,festival,matsuri
まど,window,mado
まどぐち,window,madoguchi
まとまる,be collected,matomaru
まとめ,summary,matome
まとめる,gather together,matomeru
まなー,manners,manaa
まないた,chopping board,manaita
まなつ,midsummer,manatsu
まなぶ,learn,manabu
まにあう,be in time,maniau
まにあわせる,make do,maniawaseru
まね,imitation,mane
まねー,money,manē
まねく,invite,maneku
まねる,imitate,maneru
まふぃん,muffin,mafin
まぶしい,dazzling,mabushii
まぶた,eyelid,mabuta
まふらー,scarf,mafuraa
まま,mommy,mama
まま,as is,mama
まめ,bean,mame
まもなく,soon,mamonaku
まもる,protect,mamoru
まゆ,eyebrow,mayu
まゆげ,eyebrows,mayuge
まゆずみ,eyebrow pencil,mayuzumi
まよう,be perplexed,mayō
まよなか,midnight,mayonaka
まよねーず,mayonnaise,mayonēzu
まらかす,maracas,marakasu
まらそん,marathon,marason
まる,circle or sphere,maru
まるい,round,marui
まるで,just like,marude
まれ,rarely,mare
まわす,turn,mawasu
まわり・まわり,vicinity,mawari.mawari
まわりみち,roundabout way,mawarimichi
まわる,turn round,mawaru
まん,ten thousand,man
まんいち,if by any chance,man'ichi
まんいん,full to capacity,man'in
まんが,manga,manga
まんげつ,full moon,mangetsu
まんしょん,apartment,manshon
まんぞく,satisfaction,manzoku
まんてん,full marks,manten
まんなか,center,mannaka
まんねんひつ,fountain pen,mannenhitsu
まんまる,perfect circle,manmaru
み,body,mi
み,fruit,mi
みあい,meeting with a view to marriage,miai
みあげる,look up,miageru
みーてぃんぐ,meeting,miiteingu
みーとそーす,bolognese sauce,mito-sosu
みえっぱり,show-off,miebappari
みえる,be visible,mieru
みおくり,seeing someone off,miokuri
みおくる,see (someone) off,miokuru
みおとす,miss,miotosu
みおぼえ,recognition,mioboe
みおろす,look down,miorosu
みがく,polish,migaku
みかけ,looks,mikake
みかた,view,mikata
みかた,friend,mikata
みかづき,new moon,mikazuki
みかん,tangerine,mikan
みき,tree trunk,miki
みぎ,right,migi
みぎがわ,right side,migigawa
みきさー,mixer,mikisaa
みぎて,right hand,migite
みくらべる,look from one to another,mikuraberu
みけねこ,calico cat,mikeneko
みこ,shrine maiden,miko
みごと,splendid,migoto
みこみ,hope,mikomi
みこん,unmarried,mikon
みじかい,short,mijikai
みじめ,miserable,mijime
みす,mistake,misu
みず,water,mizu
みずいろ,sky blue,mizuiro
みずうみ,lake,mizūmi
みずから,oneself,mizukara
みずぎ,bathing suit,mizugi
みずたま,polka dots,mizutama
みずたまり,puddle,mizutamari
みすぷりんと,misprint,misupurinto
みせ,shop,mise
みせいねん,minor,miseinen
みせる,show,miseru
みそ,miso,miso
みぞ,ditch,mizo
みそしる,miso soup,misoshiru
みだし,headline,midashi
みたす,fill,mitasu
みだす,put into disorder,midasu
みだれる,be disordered,midareru
みち,road,michi
みち,unknown,michi
みぢか,near oneself,mijika
みちがえる,mistake,michigaeru
みちじゅん,route,michijun
みちのえき,roadside station,michi no eki
みちびく,guide,michibiku
みちる,be filled,michiru
みつあみ,braid,mitsuami
みっか,three days,mikka
みっかぼうず,fickle person,mikka bōzu
みつかる,be found,mitsukaru
みつける,find,mitsukeru
みっつ,three (things),mittsu
みつめる,stare,mitsumeru
みてい,undecided,mitei
みとおし,perspective,mitōshi
みとめる,recognize,mitomeru
みどり,green,midori
みどりいろ,green,midoriiro
みな,all,mina
みなおす,reconsider,minaosu
みなさま,everyone,minasama
みなさん,everybody,minasan
みなと,port,minato
みなみ,south,minami
みならう,learn,minarau
みなり,dress,minari
みにくい,ugly,minikui
みのまわり,one's person,minomawari
みのる,bear fruit,minoru
みはらし,view,miharashi
みぶり,gesture,miburi
みほん,sample,mihon
みまい,personal visit,mimai
みまう,visit someone,mimau
みまもる,watch,mimamoru
みみ,ear,mimi
みやげ,souvenir,miyage
みやげものや,souvenir shop,miyagemono ya
みやこ,capital,miyako
みゅーじっく,music,myūjikku
みょうじ,surname,myōji
みょうちょう,tomorrow morning,myōchō
みょうにち,tomorrow,myōnichi
みらい,future,mirai
みりょく,charm,miryoku
みる,see,miru
みる,examine,miru
みるく,milk,miruku
みわたす,look out over,miwatasu
みんかん,citizens,minkan
みんしゅ,democracy,minshu
みんぞく,race,minzoku
みんな,all,minna
むいか,six days,muika
むいしき,unconsciously,muishiki
むいちもん,penniless,muichimon
むいみ,meaningless,muimi
むーど,mood,mūdo
むかい,opposite side,mukai
むがい,harmless,mugai
むかう,face,mukau
むかえ,greeting,mukae
むかえる,welcome,mukaeru
むかし,old times,mukashi
むかしばなし,folktale,mukashibanashi
むかんけい,irrelevant,mukankei
むかんしん,apathy,mukanshin
むき,direction,muki
むぎ,wheat,mugi
むきえび,peeled shrimp,mukiebi
むぎちゃ,barley tea,mugicha
むぎわらぼうし,straw hat,mugiwara bōshi
むく,turn,muku
むく,peel,muku
むくち,not speaking much,mukuchi
むける,turn toward,mukeru
むける,come off,mukeru
むげん,infinite,mugen
むこう,the other side,mukō
むこう,invalidity,mukō
むこうがわ,other side,mukōgawa
むごん,silence,mugon
むし,ignoring,mushi
むし,insect,mushi
むしあつい,humid,mushiatsui
むしくい,moth-eaten,mushikui
むしたおる,hot towel,mushi taōru
むしば,decayed tooth,mushiba
むしめがね,magnifying glass,mushimegane
むじゃき,innocence,mujaki
むじゅん,contradiction,mujun
むしょく,colorless,mushoku
むしろ,rather,mushiro
むじんとう,desert island,mujintō
むすう,countless,musū
むずかしい,difficult,muzukashii
むすこ,son,musuko
むすび,end,musubi
むすぶ,tie,musubu
むすめ,daughter,musume
むせいげん,unlimited,museigen
むせいぶつ,inanimate object,museibutsu
むせきにん,irresponsibility,musekinin
むせん,radio,musen
むだ,no good,muda
むだげ,unwanted hair,mudage
むだづかい,wasting money,mudazukai
むだづかい,wasteful spending,mudazukai
むち,ignorance,muchi
むちゃ,reckless,mucha
むちゅう,be absorbed,muchū
むっつ,six (things),muttsu
むとう,no sugar added,mutō
むなしい,empty,munashii
むね,chest,mune
むのう,inefficiency,munō
むよう,useless,muyō
むら,village,mura
むらさき,purple,murasaki
むり,unreasonable,muri
むり,impossibility,muri
むりやり,by force,muriyari
むりょう,no charge,muryō
むれ,crowd,mure
むろん,of course,muron
め,eye,me
め,bud,me
めい,niece,mei
めいかく,clear,meikaku
めいし,noun,meishi
めいし,business card,meishi
めいじ,Meiji era,meiji
めいしょ,noted place,meisho
めいしょう,name,meishō
めいじる,order,meijiru
めいしん,superstition,meishin
めいじん,master,meijin
めいはく,clear,meihaku
めいぶつ,specialty,meibutsu
めいぼ,registry,meibo
めいめい,each,meimei
めいりょう,clear,meiryō
めいれい,command,meirei
めいわく,trouble,meiwaku
めうえ,one's superiors,meue
めーかー,maker,mēkaa
めーたー,meter,mētaa
めかた,weight,mekata
めがね,glasses,megane
めがほん,megaphone,megahon
めぐすり,eye drops,megusuri
めぐまれる,be blessed,megumareru
めくる,turn over,mekuru
めぐる,go round,meguru
めざす,aim for,mezasu
めざまし,waking up,mezamashi
めざましい,striking,mezamashii
めざましどけい,alarm clock,mezamashidokei
めし,cooked rice,meshi
めしあがる,eat,meshiagaru
めした,one's inferiors,meshita
めじるし,landmark,mejirushi
めす,female,mesu
めずらしい,rare,mezurashii
めだつ,stand out,medatsu
めだまやき,fried egg,medamayaki
めちゃくちゃ,in a mess,mechakucha
めったに,rarely,mettani
めでたい,happy,medetai
めにゅー,menu,menyū
めも,memorandum,memo
めれんげ,meringue,merenge
めろでぃー,melody,merodii
めろどらま,melodrama,merodorama
めろん,melon,meron
めん,surface,men
めん,cotton,men
めんきょ,license,menkyo
めんきょしょう,license,menkyoshō
めんする,face,mensuru
めんぜい,tax exemption,menzei
めんぜいてん,duty-free shop,menzei ten
めんせき,area,menseki
めんせつ,interview,mensetsu
めんてなんす,maintenance,mentenansu
めんどう,troublesome,mendō
めんどうくさい,troublesome,mendōkusai
めんどり,hen,mendori
めんばー,member,menbaa
めんぼう,cotton swab,menbō
もう,already,mō
もう,another,mō
もうかる,make a profit,mōkaru
もうけ,profits,mōke
もうける,set up,mōkeru
もうける,make a profit,mōkeru
もうしあげる,speak humbly,mōshiageru
もうじき,soon,mōjiki
もうしこみ,application,mōshikomi
もうしこむ,apply,mōshikomu
もうしでる,offer,mōshideru
もうしわけ,excuse,mōshiwake
もうしわけない,sorry,mōshiwakenai
もうす,speak humbly,mōsu
もうふ,blanket,mōfu
もえる,burn,moeru
もえるごみ,burnable trash,moerugomi
もーたー,motor,mōtaa
もくじ,table of contents,mokuji
もくぞう,wooden,mokuzō
もくてき,object,mokuteki
もくてきち,destination,mokutekichi
もくひょう,target,mokuhyō
もくようび,Thursday,mokuyōbi
もぐる,dive into,moguru
もし,if,moshi
もじ,character,moji
もしかしたら,possibly,moshikashitara
もしかすると,possibly,moshikasuruto
もしも,if,moshimo
もしもし,hello (on the phone),moshimoshi
もたらす,bring about,motarasu
もだん,modern,modan
もち,rice cake,mochi
もちいる,use,mochiiru
もちこむ,bring in,mochikomu
もちぬし,owner,mochinushi
もちもの,one's property,mochimono
もちろん,of course,mochiron
もつ,have,motsu
もつ,maintain,motsu
もっか,now,mokka
もったいない,wasteful,mottainai
もっていく,take,motteiku
もってくる,bring,mottekuru
もっと,more,motto
もっとも,the most,mottomo
もっとも,quite right,mottomo
もっぷ,mop,moppu
もてる,be popular with the opposite sex,moteru
もでる,model,moderu
もでるはうす,show home,moderu hausu
もと,under the supervision,moto
もと,origin,moto
もどす,return,modosu
もとづく,be based on,motozuku
もとめる,seek,motomeru
もともと,originally,motomoto
もどる,return,modoru
もなか,monaka wafer,monaka
もの,thing,mono
もの,person,mono
ものおと,noise,monōto
ものおぼえ,memory,monōboe
ものかげ,place behind something,monokage
ものがたり,story,monogatari
ものごと,things,monogoto
ものさし,ruler,monosashi
ものしり,knowledgeable person,monoshiri
ものすごい,tremendous,monosugoi
ものまね,impression,monomane
ものれーる,monorail,monorēru
もはや,already,mohaya
もはん,model,mohan
もむ,rub,momu
もめん,cotton,momen
もも,peach,momo
もやし,bean sprouts,moyashi
もやす,burn,moyasu
もよう,pattern,moyō
もよおし,event,moyōshi
もよおす,feel,moyōsu
もらう,receive,morau
もらす,give away,morasu
もり,thick woods,mori
もりあがる,become lively,moriagaru
もりあげる,build up excitement,moriageru
もる,heap up,moru
もる,leak,moru
もれる,leak,moreru
もろい,weak,moroi
もん,gate,mon
もんく,complaint,monku
もんだい,problem,mondai
もんどう,questions and answers,mondō
やえば,snaggletooth,yaeba
やおや,vegetable store,yaoya
やがて,soon,yagate
やかましい,noisy,yakamashii
やかん,kettle,yakan
やかん,night,yakan
やきがし,baked sweets,yakigashi
やきそば,pan-fried noodles,yakisoba
やきとり,yakitori,yakitori
やきにく,grilled meat,yakiniku
やきもち,jealousy,yakimochi
やきゅう,baseball,yakyū
やく,translation,yaku
やく,burn,yaku
やく,role,yaku
やくしょ,public office,yakusho
やくす,translate,yakusu
やくそく,promise,yakusoku
やくだつ,be of use,yakudatsu
やくにたつ,be useful,yakunitatsu
やくにん,government official,yakunin
やくひん,medicine,yakuhin
やくめ,duty,yakume
やくわり,role,yakuwari
やけど,burn,yakedo
やける,burn,yakeru
やこうせい,nocturnal,yakōsei
